id_qa,corpus,question_en_origin,question_pt_origin,question_en_paraphase,question_pt_paraphase,answer_en_origin,answer_pt_origin,answer_en_validate,answer_pt_validate,eid_article_scopus,text_excerpts_un_reports,question_generic,answer_in_text,answer_difficulty,question_meaningful,answer_equivalent,question_type
A151,1,What does the Pico das Gaivotas Unit clinopyroxene phenocrysts suggests?,O que sugere os fenocristais de clinopiroxênio da Unidade Pico das Gaivotas?,"","","","","","",2-s2.0-85096104148,"",false,true,3,5,1, What
A211,1,When was the Bed of Ibaté formed?,Quando o Leito de Ibaté se formou?,What is approximately the age of formation of Bed of Ibaté?,Qual é aproximadamente a idade de formação do Leito de Ibaté?,"","","","",2-s2.0-85037355639,"",false,true,3,5,1, When
A442,1,When was the first offshore deep reservoir in Brazil developed?,Quando foi desenvolvido o primeiro reservatório profundo offshore no Brasil?,What year was developed the first offshore deep reservoir?,Em que ano foi desenvolvido primeiro reservatório profundo offshore no Brasil? ,"","","","",2-s2.0-85085778037,"",true,true,1,1,5, When
A846,1,How many blocks were offered in the second bid of oil exploration offered by Brazil's government in June 2000?,Quantos blocos foram oferecidos na segunda licitação de exploração de petróleo oferecida pelo governo brasileiro em junho de 2000?,"
How many blocks were offered in the oil exploration tender in June 2000 in Brazil?",Quantos blocos foram ofertados na licitação de exploração de petróleo em junho de 2000 no Brasil?,"","","","",2-s2.0-34686357,"",true,true,1,2,5, None of the above
A963,1,How far is the uncovered reservoir located?,A que distância está localizado o reservatório descoberto ?,What is the distance between the reservoir and the coast?,Qual a distância entre o reservatório e a costa?,"","","","",2-s2.0-36768397,"",true,true,1,2,4, Where
A328,1,Where is Mithraculis forceps' natural habitat?,Qual é o habitat natural da espécie Mithracilis forceps?,Where does Mithraculis forceps' live?,Onde vive a espécie Mithracilis forceps?,"","","","",2-s2.0-43264987,"",false,false,4,3,2, What
A303,1,By what name is the Brazilian EEZ called?,Por qual nome a ZEE brasileira é chamada?,The Brazilian ZEE is well known by what name?,A ZEE brasileira é bem conhecida por qual nome?,"","","","",2-s2.0-85009192413,"",true,false,1,1,5, What
A1501,1,What was collected in a mangrove in Sepetiba Bay?,O que foi coletado em um manguezal na Baía de Sepetiba?,"","","","","","",2-s2.0-85083240666,"",true,false,1,1,5, What
A1825,1,What is the main mode of transport in Brazil?,Qual a modalidade de transporte principal no Brasil?,What is the mode of transport that represents the largest participation in the Brazilian transport matrix?,Qual é a modalidade de transporte que representa a maior participação na matriz de transporte brasileira?,"","","","",2-s2.0-85016958402,"",true,true,1,2,4, What
A305,1,Where would the plant proposed by Petrobras and the UK's BG Group collect gas from?,De onde a planta proposta pela Petrobras e o BG Group do Reino Unido coletaria gás?,"Where would be the installation of floating plants for gas capture, in the project between Petrobras and the BG Group in the United Kingdom","Onde seria a instalação de plantas flutuantes para a captação de gás, do projeto entre Petrobras e o BG Group do Reino Unido","","","","",2-s2.0-73349086227,"",true,true,2,2,2, Where
A1973,1, adsasdasd,asdasdasd,adsasdasd,adsasdasd,"","","","",2-s2.0-85066600751,"",true,false,1,1,1, None of the above
A1976,1, asdasdasd,adasdasd,"there's no question, only characters","não há questão, apenas caracteres","","","","",2-s2.0-80052069671,"",false,false,1,1,1, None of the above
A1295,1,What is the kind of Pre-salt deposits?,Qual é o tipo de depósito do Pré-sal?,Quais os depósitos encontrados no pré-sal?,What deposits are found in the pre-salt?,"","","","",2-s2.0-85061767810,"",false,true,4,5,1, What
A1656,1,What were the metals found in the sediment profile in Coroa de Boi Bay?,Quais foram os metais encontrados no perfil de sedimento na Baía Coria de Boi?,What metals have been found in the sediment profile in the Coroa de Boi Bay?,Quais metais foram encontrados no perfil de sedimentos na Baía Coroa de Boi?,"","","","",2-s2.0-85063689284,"",false,true,1,3,2, What
A1966,1, 2,2,Two.,Dois.,"","","","",2-s2.0-85075350522,"",true,false,1,1,1, None of the above
