id,question,prompt,correct_choice,gpt_selected_choice,is_right
A1003,"What is SAASS?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What is SAASS?
  A: SAASS is an autonomous system for the acquisition of submarine signals. It was developed to meet the needs of an acoustic monitoring program of Petrobras.
  B: The autonomous system for the acquisition of submarine signals is an acoustic recorder developed to meet the needs of an acoustic monitoring program in oceans.
  C: Autonomous System for the Acquisition of Submarine Signals, an acoustic recorder developed by Petrobras.
  D: The development of the subsalt oil reserves
  E: Laboratory research, development of an utilization plan, assignment of a drilling well, and drilling testing.
 ",C,C,1
A1011,"What formed the Rio Grande Rise?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What formed the Rio Grande Rise?
  A: In a series of lacustrine rift basins that formed along the Brazilian Continental Margin.
  B: The Santos basin.
  C: An aptiana volcanic activity in the South Atlantic
  D: In the Santos basin off Brazil
  E: Due to the depth of its reservoirs.
 ",C,C,1
A1044,"Where has Baker installed successful smart hydraulic well systems?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where has Baker installed successful smart hydraulic well systems?
  A: In the North Sea, Middle East and Far East.
  B: It reduces the rig costs and allows each zone to be accessed or closed remotly in less than 5 minutes.
  C: A subsea deepwater well installation was carried out in the well 8-MLS-67HA-RJS in a water depth of 1180 m in the MarlimSul field, about 100 Km offshore Campos (Campos Basin), Rio de Janeiro State, Brazil.
  D: Biodiversity loss, habitat damage and fragmentation as well as diseases
  E: Instruments for land/sea tenure and beneficiaries recognition, territorial use planning, institutional arenas for discussion and deliberation as well as public policies.
 ",A,A,1
A1083,"One particular block called more attention than the others even though there was only one bidder. Who was this bidder and what was the block called?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: One particular block called more attention than the others even though there was only one bidder. Who was this bidder and what was the block called?
  A: The fact that big firms of E&P participated on the auction for the blocks
  B: The bidder was Shell and the block was Campos
  C: In BC-20 Block in the Campos Basin - Brazil, 110 kilometers away from Rio de Janeiro state coast.
  D: Campos
  E: In Campos Basin.
 ",B,B,1
A1090,"The article alludes to the fact that Brazil is still a hotspot for oil exploration, which factor led to this conclusion?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: The article alludes to the fact that Brazil is still a hotspot for oil exploration, which factor led to this conclusion?
  A: The fact that big firms of E&P participated on the auction for the blocks
  B: The bidder was Shell and the block was Campos
  C: In BC-20 Block in the Campos Basin - Brazil, 110 kilometers away from Rio de Janeiro state coast.
  D: Campos
  E: In Campos Basin.
 ",A,A: The fact that big firms of E&P participated on the auction for the blocks.,0
A1091,"How are CO2 concentrations in Santos Basin Pre-Salt reservoir compared to other Brazilian fields?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: How are CO2 concentrations in Santos Basin Pre-Salt reservoir compared to other Brazilian fields?
  A: They are generally higher than those found in other Brazilian fields.
  B: Santos basin presalt reservoirs offshore Brazil
  C: SAASS is an autonomous system for the acquisition of submarine signals. It was developed to meet the needs of an acoustic monitoring program of Petrobras.
  D: The autonomous system for the acquisition of submarine signals is an acoustic recorder developed to meet the needs of an acoustic monitoring program in oceans.
  E: Technological advances
 ",A,B,0
A1093,"What technique started been used in northeast of Brazil as a solution for sand production during the production of hydrocarbons?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What technique started been used in northeast of Brazil as a solution for sand production during the production of hydrocarbons?
  A: The gravel packing technique, also know as GPT
  B: It is a solution for the sand production problems associated with the production of hydrocarbons from sandstone reservoirs
  C: A solution for sand production problems.
  D: Petrobras.
  E: It followed the start-up of operations at the Marlim Sul floating production, storage, and offloading vessel (FPSO), at the Marlim Sul field, in the Campos basin.
 ",A,A,1
A1098,"What is the consensus that the oil industry has reached about the new oil and gas discoveries?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What is the consensus that the oil industry has reached about the new oil and gas discoveries?
  A: That there are no easy fields to be developed remain undiscovered, especially in offshore environments
  B: Laboratory research, development of an utilization plan, assignment of a drilling well, and drilling testing.
  C: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
  D: To do this test it is necessary to use safety equipment that is placed inside an explosion preventer, the BOP, in order to keep the well under control
  E: Failure can immediately start gain and loss events in the well, with a direct impact on the safety of the process.
 ",A,A,1
A1099,"Where was the recording system implemented for the Petrobras Permanent Reservoir Monitoring pilot?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where was the recording system implemented for the Petrobras Permanent Reservoir Monitoring pilot?
  A: Over the Jubarte Field, in the Santos Basin.
  B: We consider an estuary region in Brazil to evaluate the models capabilities
  C: The provisional system used the seabed pipeline, meter, loading tower and a processing vessel from the original production system.
  D: Build up of seismic velocity models respecting the evident complexities of the seismic data.
  E: Measurements of hydrophones and geophones.
 ",A,A,1
A1107,"What measurements were used to improve the quality of the images obtained by the Permanent Reservoir Monitoring system?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What measurements were used to improve the quality of the images obtained by the Permanent Reservoir Monitoring system?
  A: Over the Jubarte Field, in the Santos Basin.
  B: We consider an estuary region in Brazil to evaluate the models capabilities
  C: The provisional system used the seabed pipeline, meter, loading tower and a processing vessel from the original production system.
  D: Build up of seismic velocity models respecting the evident complexities of the seismic data.
  E: Measurements of hydrophones and geophones.
 ",E,E,1
