id,text,question,A,B,C,D,E,correct
B2582,"The starting point is the four main ocean basins of our planet: the Arctic Ocean, the Atlantic Ocean, the Indian Ocean and the Pacific Ocean. Even though they have different names, they form one single interconnected ocean system. The basins have been created over geological times by the movement of the tectonic plates across the Earth’s mantle. The tectonic plates have differing forms at their edges, giving broad or narrow continental shelves and varying profiles to the continental slopes leading down to the continental rises and the abyssal plains. Geomorphic activity in the abyssal plains between the continents gives rise to abyssal ridges, volcanic islands, seamounts, guyots (plateau-like seamounts), rift-valley segments and trenches. Erosion and sedimentation (either submarine or riverine, when the sea level was lower during the ice ages) have created submarine canyons, glacial troughs, sills, fans and escarpments. Around the ocean basins, there are marginal seas, more or less separated from the main ocean basins by islands, archipelagos or peninsulas, or bounded by submarine ridges and formed by various processes. The water of the ocean mixes and circulates within those geological structures. Although the proportion of the different chemical components dissolved in seawater is essentially constant over time, that water is not uniform: there are very important physical and chemical variations within the seawater. Salinity varies according to the relative balance between inputs of freshwater and evaporation. Differences in salinity and temperature of water masses can cause seawater to be stratified into separate layers. Such stratification can lead to variations in the distribution of both oxygen and nutrients, with an obvious variety of consequences in both cases for the biotas sensitive to those factors. A further variation is in the penetration of light, which controls where the photosynthesis on which nearly all ocean life depends can take place. Below a few tens of metres at the coastal level or a few hundred meters in the clearer open ocean, the ocean becomes dark and there is no photosynthesis. Superimposed on all this is a change in the acidity of the ocean. The ocean absorbs annually about 26 per cent of the anthropogenic carbon dioxide emitted into the atmosphere. That gas reacts with the seawater to form carbonic acid, which is making the ocean more acid.
 ","How can stratification affect the composition of seawater?
 ","Arctic Ocean, Atlantic Ocean, Indian Ocean and Pacific Ocean.
 ","The ocean absorbs annually about 26 per cent of the anthropogenic carbon dioxide emitted into the atmosphere.
 ","It can lead to variations in the distribution of both oxygen and nutrients.
 ","Because they help to release oxygen back into the atmosphere by a high level of primary production from photosynthesis by phytoplankton in the zone of light penetration
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects.
 ",It can lead to variations in the distribution of both oxygen and nutrients.
A832,"Brazilian carbonate reservoirs contain huge oil-in-place volumes and are likely to have an important economic impact in global oil industry. Such carbonate reservoirs, both Albian and Aptian, are located offshore in deep water, which has an important role in development costs. In siliciclastic plays it is standard practice to use time-lapse (4D) seismic to locate wells in unswept areas, maximizing the recovery factor. However, in carbonate plays, time-lapse seismic monitoring remains challenging, with few cases of success published around the world. Carbonates differ from siliciclastic rocks in many aspects. With a varied chemical composition and complex pore connectivity, carbonates bring on a large diversity of facies, each one showing a specific seismic response. Moreover, the usually high incompressibility of the carbonate matrix reduces sensitivity to pressure and saturation changes, which are the main effects expected on a hydrocarbon field undergoing production. Considering both the economic relevance and the difficulties of using time-lapse seismic to monitor carbonate reservoirs, Petrobras created a strategic program to face this challenge, a time-lapse seismic (S4D) study of an Albian carbonate reservoir located in the Campos Basin offshore Brazil. Three legacy data were available: streamer-1987, streamer-2002, and ocean-bottom cable-2010. Extensive feasibility studies are performed as well as a meticulous prestack 4D simultaneous inversion based on the seismic data, preliminary cross-equalized to partially overcome the initial low repeatability. A multidisciplinary interpretation conducted by a team of geophysicists, geologists, and reservoir engineers finally lead to results overcoming expectations. Saturation and pressure changes are detected using P-and S-impedance attributes, consistent with production data. Results are opening perspectives for further monitoring other carbonate reservoirs, especially with new presalt Brazilian discoveries in the Campos and Santos Basins, which might have a huge economic impact.
 ","Why is it hard to succeed on using time-lapse (4D) seismic to locate wells in unswept areas in carbonate plays?
 ","Because carbonate has a varied chemical composition and complex pore connectivity, as well as a large diversity of facies, each one showing a specific seismic response.
 ","time-lapse seismic (S4D)
 ","The deposition of siliciclastic and carbonate facies in a shallow water platform environment.
 ","More than half of Brazilian oil production originates from the Pre-Salt reservoirs of offshore basins.
 ","In Campos Basin, in offshore Brazil.
 ","Because carbonate has a varied chemical composition and complex pore connectivity, as well as a large diversity of facies, each one showing a specific seismic response."
A360,"This work presents a column generation baaed heuristic algorithm for the problem of planning the flights of helicopters to attend transport requests among airports in the continent and offshore platforms on the Campos basin for the Brazilian State Oil Company (Petrobras). We start from a previous MIP based heuristic for this Helicopter Routing Problem and add column generation procedures that improve the solution quality. This is done by extending the earlier formulation and providing an algorithm to find optimal passenger allocation to fixed helicopter routes. A post optimization procedure completes the resulting algorithm, which is more stable and allows consistently finding solutions that improve the safety and the cost of the one done by the oil company experts.
 ","Which aspects are improved in the solutions allowed to be found by the helicopter routing algorithm, after a post optimization procedure?
 ","A column generation based heuristic algorithm.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","Safety and cost.
 ","A dry tree solution, because they have the advantage of direct access into reservoirs from the floaters. This allows the operators to drill, complete and workover the well directly from the same hosting unit.
 ","The demand for this product from farming and aquaculture.
 ",Safety and cost.
A1714,"Pollen and spore palynomorph diversity on Rio Grande do Sul inner continental shelf, southern Brazil. The knowledge of modern pollen and spore morphology are very important to consistent palynomorph identifications and robust interpretations on past vegetation and climate change. The objective of this work was to describe pollen and spore palynomorph assemblage over Rio Grande do Sul inner continental shelf, to facilitate and improve palynomorph descriptions and interpretations. The Rio Grande do Sul coastal area is NE/SW oriented, extends for over 600 km, and has two inlets, Patos and Tramandaí lagoons. The water masses that influence this region are Subantarctic Shelf Water, Tropical Water and south Atlantic Central Water, beyond two freshwater sources, from Rio de la Plata estuary and Patos lagoon. The wind circulation there is strongly seasonal, predominantly NE during summer and SW during winter. The surface sediments were sampled in two sites: (i) 48 samples from Balneário Hermenegildo (REMPLAC Project) and (ii) 5 samples from ‘Amazônia Azul’ Project, at Patos lagoon inlet area. We have identified the following families: one family of Bryophyta: Anthocerothaceae; eight families of Pteridophyta: Blechnaceae, Cyatheaceae, Equisetaceae, Lycopodiaceae, Ophioglossaceae, Osmundaceae, Pteridaceae and Polypodiaceae; three families of Monocotyledons: Arecaceae, Cyperaceae and Poaceae; and seven families of Eudicotyledons: Amaranthaceae, Asteraceae, Betulaceae, Fabaceae, Melastomataceae, Typhaceae and Verbenaceae. Almost all registered taxa represent the coastal vegetation from Rio Grande do Sul, except for Betulaceae (Alnus), representing montane forests, with anemophilous pollination and transported for long distances.
 ","Which bodies of water act on the coast of Rio Grande do Sul?
 ","Sub-Antarctic Platform Water, Tropical Water and Central Atlantic South Water
 ","Balneário Hermenegildo and in the entrance area of Lagoa dos Patos.
 ","The basin covers an area of about 200,000 km, including the present coastal zone and continental shelf.
 ","Roncador, Marlim Sul and Marlim Leste.
 ","In two test tanks.
 ","Sub-Antarctic Platform Water, Tropical Water and Central Atlantic South Water"
A1451,"This work reports on the widespread occurrence of tar balls on a pebble beach of Sueste Bay on Fernando de Noronha Island, a Brazilian national marine park and a preserve in the South Equatorial Atlantic. Environmental regulations preclude regular visitors to the Sueste Bay beach, and the bay is a pristine area without any possible or potential sources of petroleum in the coastal zone. In this work, these tar balls were observed for the first time as they occurred as envelopes around beach pebbles. They are black in color, very hard, have a shell and coral fragment armor, and range in average size from 2 to 6 cm. The shape of the majority of the tar balls is spherical, but some can also be flattened ellipsoids. The polycyclic aromatic hydrocarbon analyses of the collected samples revealed the characteristics of a strongly weathered material, where only the most persistent compounds were detected: chrysene, benzo(b,k)fluoranthene, dibenzo(a,h)antracene and benzo(a)pyrene.
 ","What are tar balls found on a pebble beach in Baía do Sueste, on Fernando de Noronha Island?
 ","They are black structures, very hard, have shell armor and fragments of coral, and vary in average size from 2 to 6 cm. The shape of most tar balls is spherical, but some can also be flat ellipsoids.
 ","Were first used in the early 1970s
 ","The Continental Platform of Northeast Brazil houses a variety of geohabitats, including coral and algae reefs, beach rocks, mesophotic reefs, canyons, and paleochannels.
 ","With the increased proliferation of human-occupied and modified coastlines, there is a high risk of ecological disturbance to organisms that exclusively use the coastal zone for nesting or nursery purposes, which also reduces the overall bioproductivity of the coastal zone.
 ","They would be able to extract oil from deeper wells on the ocean as well as farther from the coast
 ","They are black structures, very hard, have shell armor and fragments of coral, and vary in average size from 2 to 6 cm. The shape of most tar balls is spherical, but some can also be flat ellipsoids."
A1243,"The energy sector has been global before globalization became a household word. At least since 1901, major oil and gas companies have ventured abroad searching for commercially viable resources that are open to development. In 2011, the investment flows traceable to coal, oil, and natural gas investments alone represented $105 billion of FDI. That does not count the trade and investment activity that follows in their wake, supplying goods and services to the E & P firms. Globalization has changed the sector, however. In recent years, national oil companies - always a feature of the landscape - have increasingly taken a major role in projects in their own countries and sometimes even overseas. Statoil of Norway, Petrobras of Brazil, Sonangol of Angola, China National Petroleum Company (CNPC), the Nigerian National Petroleum Company (NNPC), Petroleos de Venezuela, SA (PDVSA), and others throughout the developed and developing world, many espousing strong resource nationalism policies, have made their policy voices heard. Their ability to control the resources in their own jurisdiction, to dictate the terms of concessions and production sharing contracts, to mandate increasing local benefits (indigenization) and government 'take,' have significant implications for the terms of transactions and the financial benefits flowing from these projects. The discovery of deepwater offshore deposits (for example, off the west coast of Africa, and the 'pre-salt' deposits in Brazil), have required more capital and know-how to effectively access and develop those resources.
 ","The existence of oil deposits in Brazilian deep waters, the pre-salt, requires which factors to be effectively explored?
 ","Non-indigenous species are those that have overcome a natural dispersal barrier and become established in a biogeographical area outside their native range.
 ","The development, together with universities, service companies and the industry, of new technologies for the offshore heavy oil fields, to thereby set the basis for the economical development of the significant volumes of heavy oil already discovered offshore Brazil.
 ","The global market and naval industry incapacity to meet the demand of the growing exploration activities, related to the recent discovery of new oil fields, in addition to the fact that they are located at a large distance from the shore (approximately 300km) and the environmental conditions being severe.
 ","As a result of the geographical location, they are vulnerable to weather events and floodings. Their limited economic opportunities imply more sensitivity to market fluctuations. They also have limited access to health care, goods, transportation, and other services.
 ","More capital and know-how.
 ",More capital and know-how.
B2413,"Invasion by non-indigenous species (NIS) is a major driver of biodiversity change that can reduce biodiversity, alter community structure and function, diminish fisheries and aquaculture production and impact human health and well-being. It is exacerbated by climate change, including extreme events, and other human-induced disturbances (Bax and others, 2003; MEA, 2005; Ojaveer and others, 2018). NIS are those species, including microbes, that have overcome a natural dispersal barrier to become established in a new biogeographical area outside their native range as an intentional or unintentional result of human-mediated activities (Carlton, 1999). Those species can then spread in the newly invaded area, either naturally or by means of additional human-mediated activities, through a wide range of invasion vectors (i.e., the physical means by which individuals are moved, including biofouling, aquaculture, trade in live specimens and canals) (Carlton and Ruiz, 2005; Richardson and others, 2011). Invasion pathways represent a combination of processes and opportunities that allow individuals to be moved from a source location to a recipient (non-native) one and include some elements of invasion vectors (the term “invasion pathway” has sometimes been used interchangeably with “invasion vector”) (Carlton and Ruiz, 2005; Richardson and others, 2011). Species that undergo distributional changes owing to ecosystem regime shifts or in response to climate change in their native range are not considered to be NIS, and neither are cryptogenic species (those whose native range is unknown) (Carlton, 1996). A subset of all NIS, often identified as “invasive alien species”, have significant biological, economic or human health impacts (Williamson, 1996; UNEP, 2002). Given that it is often impossible to predict which NIS will become invasive in which area and under which circumstances, the precautionary approach has been followed in the present chapter, which therefore covers all NIS from marine and estuarine systems. NIS are drivers of change in invaded ecosystems. They are influenced by the ecosystems that they are invading and the activities and events that have allowed them to be moved from their native range. Moreover, there is increased recognition that NIS are a critical component of multiple stressors, especially in coastal marine habitats, and that developments in the global economy and improved transportation are contributing to the spread of NIS (MEA, 2005). Marine ecosystems that are already stressed or degraded as a result of other human-caused impacts, such as overfishing, eutrophication, ocean acidification and habitat alteration, have been shown to be favourable to the establishment of NIS (Crooks and others, 2011). Thus, changes in native biodiversity (including in relation to species included in the appendices to the Convention on International Trade in Endangered Species of Wild Fauna and Flora),1 productivity (including fisheries), harmful algal blooms and ecosystem structure and function (chaps. 6, 7, 10 and 15) can all directly affect marine invasion success, including where NIS are pathogens. In addition, expected increases in artificial habitats (chap. 14) that allow fouling species to become established in otherwise unsuitable environments may facilitate the introduction and the spread of NIS, the range of which is also extended by human-mediated activities such as marine transport and shipping, aquaculture- and fishing-related movements and stocking, habitat restoration, canals and diversions, marine debris and litter (especially plastics, which do not degrade rapidly and can thus persist as a transport vector) and research activities (chap. 16) (Ruiz and others, 1997; Carlton and others, 2017; Galil and others, 2018; Therriault and others, 2018). 1 United Nations, Treaty Series, vol. 993, No. 14537. NIS have the potential to affect, directly or indirectly, the biota and ecosystems that support healthy and productive human communities. Although NIS unintentionally introduced or escaped to the wild after an intentional introduction have been occasionally exploited (e.g. the Pacific oyster (Crassostrea gigas), the Red Sea prawn (Penaeus pulchricaudatus), the Asian tiger shrimp (P. monodon), the blue swimming crab (Portunus segnis) and the Manila clam (Ruditapes philippinarum)), the longer-term impacts tend to be negative, with reduced native diversity. Impacts also extend to coastal communities, directly or indirectly, by reducing the overall productivity and resilience of marine systems that traditionally support sustainable fisheries or aquaculture (Molnar and others, 2008; Schröder and de Leaniz, 2011).
 ","What is the definition of non-indigenous species provided?
 ","Non-indigenous species are those that have overcome a natural dispersal barrier and become established in a biogeographical area outside their native range.
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016).
 ","The production is projected to continue to expand on all continents, with variations in the range of species and products across countries and regions
 ","Climate change, dam construction, deforestation, pollution, overfishing, tourism and aquaculture are the main threats to ecosystem productivity and habitat quality.
 ","Overfishing, eutrophication, ocean acidification and habitat alteration, would be beneficial to non-indigenous species.
 ",Non-indigenous species are those that have overcome a natural dispersal barrier and become established in a biogeographical area outside their native range.
A1085,"In 2004, after a cycle of 11 yr in which the annual increase in crude oil production was 8.6% avg, the production decreased 3%, according to Petrobras. In 2003, the production was 1.54 million bpd avg. The decline in production was due to delays in construction and the arrival of two Floating Production Storage Offloading vessels, the P-43 and P-48. The P-43 began to process crude oil on 12/22/2004. When the P-48 enters service, Petrobras will be able to increase its production of crude oil by 500,000 bpd. The P-43 is stationed in the Barracuda field, bay of Campos, offshore the state of Rio de Janeiro, in 800 m of water. Initial oil yield is 10,380 bpd of 25° gravity. Platform P-48, the twin of P-43, is part of the Barracuda-Caratinga project that will increase Petrobras crude oil production by 300,000 bpd. This platform will enter service in January 2005. With the new capacity, the production of crude oil by Petrobras is expected to reach 1.9 million bpd by the end of 2005. Other floating installations will contribute as well when they enter service, the P-50 and P-34. Petrobras is to invest $26,200 million until 2010 for E&P. Between 2005 and 2008, 17 installations will enter service allowing annual increases of 5.9% in production of crude oil and NGL, achieving self sufficiency in 2006. Petrobras has invested heavily in improved recovery that in the last 10 yr in the Marlim oilfield has yielded an additional increment of 3000 million bbl of crude oil. In November 2004 Petrobras gave a $47 million contract to the Western Geco company to make a three dimensional seismic study of the Marlim basin to identify reserves there. Discovery of an additional 290 million bbl of crude oil in Marlim is expected. On dry land, improved recovery enabled an increment of 200,000 bpd in production from the fields in the states of Bahia, Rio Grande do Norte, and Sergipe in 2004. In 2006-2007, the company expects to substitute for imports of light crude oil its own production to start in the oilfield offshore the state of Espírito Santo. This is lighter crude oil than that from the bay of Campos where the company now obtains 80% of its oil production. The Brazilian oilfields produce mainly heavy crude oil that has to be mixed with lighter imported crude oil to produce quality gasoline. However, Brazil increases its exports of heavy crude oil. The company is involved in new areas of exploration. They are discussed. The Brazilian Petroleum Authority, Agencia Nacional de Petroleo, will likely hold the 7th hydrocarbon licensing round for concessions in crude oil E&P in October 2005.
 ","What happened to oil production in 2004?
 ","According to Petrobrás, after an 11-year cycle in which the annual increase in crude oil production was, on average, 8.6%, production fell by 3% that year.
 ","Yes, Petrobras expects to replace light oil imports with its own production starting with the Espírito Santo oil field.
 ","The floating production storage and offloading (FPSO) P-50 and P-34 vessels will raise nactional production of oil, making Brazil reach oil self-sufficiency.
 ","It averaged 1.2 million bpd and is equivalent to ? 80% of the country's production.
 ","The development, together with universities, service companies and the industry, of new technologies for the offshore heavy oil fields, to thereby set the basis for the economical development of the significant volumes of heavy oil already discovered offshore Brazil.
 ","According to Petrobrás, after an 11-year cycle in which the annual increase in crude oil production was, on average, 8.6%, production fell by 3% that year."
B2405,"Higher mortality and less successful reproduction of marine biotas Levels of by-catch (non-target fish, marine mammals, reptiles and seabirds), discards and waste Current estimates of the number of overfished stocks do not take into account the broader effects of fishing on marine ecosystems and their productivity. In the past, large numbers of dolphins drowned in fishing nets. This mortality greatly reduced the abundance of several dolphin species in the latter half of the twentieth century. Thanks to international efforts, fishing methods have changed and the by-catch has been reduced significantly. Commercial fisheries are the most serious pressure at sea that the world’s seabirds face, although there is evidence of some reductions of by-catch in some key fisheries. Each year, incidental by-catch in longline fisheries is estimated to kill at least 160,000 albatrosses and petrels, mainly in the southern hemisphere. For marine reptiles, a threat assessment scored fishery by-catch as the highest threat across marine turtle subpopulations, followed by harvesting (that is, for human consumption) and coastal development. The mitigation of those causes of mortality can be effective, even though the lack of reliable data can hamper the targeting of mitigation measures. Depending on the particular species and fishery methods, mitigation may include the use of acoustic deterrents, gear modifications, time or area closures and gear switching (for example, from gillnets to hooks and lines). In particular, the global moratorium on all large-scale pelagic drift-net fishing called for by the General Assembly in 1991 was a major step in limiting the by-catch of several marine mammal and seabird species that were especially vulnerable to entanglement.
 ","What is the highest threat across marine turtle subpopulations?
 ","A threat assessment scored fishery by-catch as the highest threat across marine turtle subpopulations
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016).
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects.
 ","The Brazilian government's concern with the use of marine resources and coastal areas emerged in this decade.
 ","Algal blooms has economic effects on fishing and tourist industries, consequently reducing food supply for local human population.
 ",A threat assessment scored fishery by-catch as the highest threat across marine turtle subpopulations
B2443,"Theme E Increased use of ocean space, especially in coastal areas, create conflicting demands for dedicated marine space. This arises both from the expansion of long-standing uses of the ocean (such as fishing and shipping) and from newly developing uses (such as hydrocarbon extraction, mining and the generation of renewable energy conducted offshore). In most cases, those various activities are increasing without any clear overarching management system or a thorough evaluation of their cumulative impacts on the ocean environment, thus increasing the potential for conflicting and cumulative pressures. Theme F The current, and growing, levels of population and industrial and agricultural production result in increasing inputs of harmful material and excess nutrients into the ocean. Growing concentrations of population can impose, and in many areas are imposing, levels of sewage discharge that are beyond the local carrying capacity and which cause harm to human health. Even if discharges of industrial effluents and emissions were restrained to the lowest levels in proportion to production that are currently practicable, continuing growth in production would result in increased inputs to the ocean. The growing use of plastics that degrade very slowly result in increased quantities reaching the ocean and have many adverse effects, including the creation of large quantities of marine debris in the ocean, and negative impacts on marine life and on the aesthetic aspects of many ocean areas, and thus consequent socioeconomic effects.
 ","What are the impacts of the population growth and increase of industrial and agricultural production on the ocean environment?
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects.
 ","Arctic Ocean, Atlantic Ocean, Indian Ocean and Pacific Ocean.
 ","This may be related to the life cycle of many species, which reproduce in the warmer months, and whose offspring use estuaries as breeding areas.
 ","The Brazilian government's concern with the use of marine resources and coastal areas emerged in this decade.
 ","The global market and naval industry incapacity to meet the demand of the growing exploration activities, related to the recent discovery of new oil fields, in addition to the fact that they are located at a large distance from the shore (approximately 300km) and the environmental conditions being severe.
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects."
